airbnb_listing_id,price,ano,mes,dia,latitude,longitude,Address
42625075.0,1300.0,2022.0,7.0,10.0,-27.12602,-48.60214,Meia Praia
7.144379170711186e+17,750.0,2022.0,11.0,18.0,-27.13947,-48.59937,Meia Praia
53142229.0,2590.0,2022.0,11.0,25.0,-27.0921,-48.60575,Meia Praia
30085847.0,480.0,2022.0,10.0,22.0,-27.14276,-48.58717,Canto da Praia
52968994.0,180.0,2022.0,10.0,31.0,-27.06166,-48.60012,Meia Praia
50743214.0,90.0,2022.0,10.0,31.0,-27.15682,-48.57889,Ilhota
53962478.0,750.0,2022.0,11.0,2.0,-27.11116,-48.61019,Meia Praia
31278015.0,550.0,2022.0,11.0,21.0,-27.12911,-48.60287,Morretes
31284638.0,525.0,2022.0,11.0,1.0,-27.09808,-48.61508,Meia Praia
51007809.0,500.0,2022.0,10.0,30.0,-27.09574,-48.61796,Centro
47377244.0,700.0,2022.0,11.0,27.0,-27.14198,-48.59266,Centro
7.261459356316353e+17,330.0,2022.0,11.0,8.0,-27.12509,-48.6058,Meia Praia
5437566.0,340.0,2022.0,12.0,3.0,-27.14757,-48.59071,Meia Praia
47921968.0,1000.0,2022.0,11.0,24.0,-27.13211,-48.59817,Centro
41533462.0,180.0,2022.0,6.0,7.0,-27.13411,-48.59838,Meia Praia
34866449.0,400.0,2022.0,11.0,14.0,-27.1416,-48.59342,Meia Praia
41074064.0,600.0,2022.0,10.0,27.0,-27.09349,-48.62856,Meia Praia
52666674.0,1650.0,2022.0,10.0,13.0,-27.15226,-48.57156,Meia Praia
40538689.0,290.0,2022.0,11.0,12.0,-27.12931,-48.60898,Morretes
53110869.0,1600.0,2022.0,10.0,8.0,-27.13655,-48.5946,Meia Praia
45199933.0,600.0,2022.0,12.0,4.0,-27.13426,-48.59768,Meia Praia
52434393.0,490.0,2022.0,10.0,14.0,-27.13867,-48.59349,Meia Praia
53825192.0,637.0,2022.0,12.0,5.0,-27.135511,-48.598106,Meia Praia
12359589.0,650.0,2022.0,11.0,20.0,-27.13615,-48.59313,Meia Praia
53673395.0,370.0,2022.0,12.0,6.0,-27.13672,-48.60108,Meia Praia
41064766.0,600.0,2022.0,12.0,1.0,-27.09059,-48.61301,Meia Praia
49690811.0,2500.0,2022.0,11.0,13.0,-27.05026,-48.588,Centro
47089646.0,349.0,2022.0,11.0,30.0,-27.09784,-48.61583,Morretes
52670832.0,550.0,2022.0,12.0,3.0,-27.131212,-48.598259,Centro
53916555.0,110.0,2022.0,11.0,13.0,-27.15118,-48.59624,Meia Praia
50567595.0,170.0,2022.0,11.0,11.0,-27.05322,-48.59671,Meia Praia
41532894.0,240.0,2022.0,8.0,3.0,-27.12496,-48.60491,Meia Praia
15484946.0,1000.0,2022.0,11.0,3.0,-27.13019,-48.60276,Meia Praia
17434239.0,330.0,2022.0,12.0,2.0,-27.12827,-48.59886,Meia Praia
17013895.0,195.0,2022.0,10.0,29.0,-27.12029,-48.61988,Meia Praia
6.956826784913009e+17,400.0,2022.0,11.0,26.0,-27.1385783,-48.593307,Morretes
40814808.0,400.0,2022.0,10.0,22.0,-27.10674,-48.61749,Meia Praia
52905472.0,1000.0,2022.0,10.0,10.0,-27.08351,-48.61468,Meia Praia
17013895.0,195.0,2022.0,10.0,10.0,-27.12029,-48.61988,Morretes
53936229.0,350.0,2022.0,10.0,14.0,-27.15245,-48.59656,Morretes
22428497.0,420.0,2022.0,11.0,6.0,-27.13858,-48.59425,Centro
42709234.0,399.0,2022.0,11.0,18.0,-27.09704,-48.61589,Meia Praia
7.489036634126948e+17,249.0,2022.0,11.0,18.0,-27.1310694,-48.6041651,Centro
40560834.0,799.0,2022.0,8.0,5.0,-27.0914,-48.61215,Meia Praia
7.099416761481261e+17,180.0,2022.0,11.0,24.0,-27.158383981766985,-48.57975997030735,Centro
31560419.0,599.0,2022.0,12.0,3.0,-27.09713,-48.61486,Meia Praia
53474976.0,1200.0,2022.0,10.0,12.0,-27.13592,-48.59432,Centro
46870908.0,110.0,2022.0,10.0,27.0,-27.1583,-48.56394,Meia Praia
6.674970661814939e+17,234.0,2022.0,12.0,7.0,-27.1199632,-48.6079369,Centro
48332300.0,1480.0,2022.0,7.0,25.0,-27.14933,-48.57653,Meia Praia
53455045.0,400.0,2022.0,11.0,19.0,-27.15712,-48.57009,Meia Praia
21621339.0,360.0,2022.0,10.0,18.0,-27.12302,-48.60685,Meia Praia
53803935.0,590.0,2022.0,10.0,31.0,-27.14353,-48.58944,Meia Praia
6.875597866451475e+17,500.0,2022.0,11.0,6.0,-27.1217609,-48.61828149999999,Meia Praia
6.650589278002863e+17,495.0,2022.0,11.0,10.0,-27.1213238,-48.6071393,Morretes
53252171.0,650.0,2022.0,11.0,29.0,-27.12941,-48.61307,Meia Praia
15909831.0,600.0,2022.0,6.0,12.0,-27.14446,-48.5869,Morretes
40925947.0,900.0,2022.0,11.0,15.0,-27.12991,-48.60111,Meia Praia
53600501.0,590.0,2022.0,12.0,3.0,-27.06457,-48.59591,Meia Praia
46027787.0,650.0,2022.0,10.0,5.0,-27.12973,-48.6041,Ilhota
40236441.0,99.0,2022.0,8.0,4.0,-27.1229,-48.61899,Meia Praia
24353133.0,425.0,2022.0,11.0,22.0,-27.12942,-48.60158,Morretes
54015036.0,800.0,2022.0,11.0,11.0,-27.11729,-48.6114,Meia Praia
47746340.0,575.0,2022.0,11.0,26.0,-27.13306,-48.59802,Morretes
6.744510178185353e+17,380.0,2022.0,11.0,14.0,-27.12136,-48.6059,Meia Praia
22315910.0,217.0,2022.0,11.0,19.0,-27.10358,-48.61412,Meia Praia
47260862.0,450.0,2022.0,11.0,29.0,-27.14083,-48.59343,Centro
31055581.0,300.0,2022.0,10.0,26.0,-27.13115,-48.59846,Meia Praia
24515144.0,490.0,2022.0,10.0,23.0,-27.0528,-48.59448,Meia Praia
47809244.0,400.0,2022.0,10.0,15.0,-27.14077,-48.5911,Meia Praia
43769569.0,250.0,2022.0,11.0,20.0,-27.14119,-48.59052,Meia Praia
38800916.0,250.0,2022.0,11.0,11.0,-27.15303,-48.59061,Meia Praia
53938033.0,400.0,2022.0,10.0,15.0,-27.13512,-48.60123,Meia Praia
40834982.0,650.0,2022.0,10.0,29.0,-27.09976,-48.61814,Meia Praia
7.341690538748905e+17,350.0,2022.0,11.0,11.0,-27.12289,-48.60701,Centro
46048925.0,480.0,2022.0,10.0,26.0,-27.13571,-48.59369,Meia Praia
39895753.0,500.0,2022.0,11.0,28.0,-27.14828,-48.58191,Meia Praia
47025436.0,20740.0,2022.0,12.0,2.0,-27.09177,-48.60992,Meia Praia
53804551.0,120.0,2022.0,10.0,6.0,-27.15945,-48.56121,Centro
6.791666773594674e+17,1500.0,2022.0,10.0,18.0,-27.13449,-48.59377,Meia Praia
5.578759985504298e+17,500.0,2022.0,11.0,19.0,-27.11518,-48.61207,Meia Praia
5.63679364512423e+17,389.0,2022.0,11.0,24.0,-27.14211,-48.59527,Morretes
39145712.0,225.0,2022.0,10.0,10.0,-27.11617,-48.60829,Meia Praia
53911823.0,1300.0,2022.0,12.0,4.0,-27.13302,-48.60077,Morretes
30105402.0,450.0,2022.0,10.0,8.0,-27.13775,-48.59519,Meia Praia
53402180.0,900.0,2022.0,10.0,20.0,-27.12243,-48.60781,Meia Praia
32606991.0,480.0,2022.0,10.0,31.0,-27.12992,-48.60271,Meia Praia
39837003.0,140.0,2022.0,7.0,29.0,-27.08941,-48.61471,Meia Praia
53498029.0,700.0,2022.0,11.0,21.0,-27.13389,-48.59475,Centro
7.071342965925613e+17,400.0,2022.0,11.0,20.0,-27.10666,-48.61399,Meia Praia
41564820.0,300.0,2022.0,11.0,22.0,-27.15722,-48.57313,Centro
23523034.0,230.0,2022.0,11.0,5.0,-27.13412,-48.59853,Meia Praia
16687188.0,880.0,2022.0,12.0,2.0,-27.12731,-48.60578,Meia Praia
