ad_id,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,ano,mes,dia,Address
30617740.0,2,3,5.0,-27.12086,-48.60717,2022.0,10.0,8.0,Meia Praia
53477336.0,2,2,5.0,-27.11873,-48.61311,2022.0,10.0,8.0,Meia Praia
6.479550051259117e+17,4,3,3.0,-27.12133,-48.60548,2022.0,10.0,8.0,Centro
47291982.0,1,2,2.0,-27.143,-48.58699,2022.0,10.0,8.0,Meia Praia
48941838.0,2,2,3.0,-27.09463,-48.61205,2022.0,9.0,5.0,Meia Praia
6.485229853260815e+17,3,3,3.0,-27.13561,-48.59615,2022.0,9.0,5.0,Meia Praia
46371374.0,3,2,2.0,-27.12273,-48.60739,2022.0,9.0,5.0,Meia Praia
5.5920366280242797e+17,3,3,3.0,-27.12942,-48.59842,2022.0,9.0,5.0,Meia Praia
52772728.0,3,3,3.0,-27.13986,-48.59497,2022.0,9.0,5.0,Meia Praia
37183669.0,1,2,3.0,-27.08728,-48.61408,2022.0,10.0,10.0,Meia Praia
6.12245203931813e+17,3,4,4.0,-27.12862,-48.602,2022.0,9.0,5.0,Meia Praia
42314475.0,2,4,5.0,-27.1559,-48.56396,2022.0,9.0,5.0,Centro
5.831881468147354e+17,2,2,2.0,-27.10386,-48.61334,2022.0,9.0,5.0,Meia Praia
18505349.0,2,3,4.0,-27.10816,-48.61346,2022.0,9.0,5.0,Meia Praia
40728859.0,3,3,5.0,-27.12075,-48.60817,2022.0,9.0,5.0,Centro
38693604.0,2,3,7.0,-27.13588,-48.59551,2022.0,9.0,5.0,Meia Praia
28160414.0,2,3,3.0,-27.10648,-48.61294,2022.0,9.0,5.0,Meia Praia
53784203.0,1,2,2.0,-27.10275,-48.61798,2022.0,10.0,10.0,Meia Praia
41621157.0,2,3,12.0,-27.15405,-48.58484,2022.0,10.0,10.0,Meia Praia
5.601286782836685e+17,4,3,3.0,-27.1284,-48.60554,2022.0,10.0,10.0,Meia Praia
41266951.0,3,3,4.0,-27.133,-48.598,2022.0,10.0,10.0,Morretes
22374889.0,2,2,2.0,-27.13146,-48.60699,2022.0,9.0,5.0,Meia Praia
16661542.0,1,3,4.0,-27.116,-48.614,2022.0,9.0,5.0,Meia Praia
15980108.0,3,4,5.0,-27.119,-48.607,2022.0,9.0,5.0,Meia Praia
40224344.0,2,3,3.0,-27.12964,-48.59832,2022.0,9.0,5.0,Meia Praia
53240726.0,0,4,4.0,-27.13036,-48.6025,2022.0,9.0,5.0,Centro
31649240.0,2,3,3.0,-27.09816,-48.6155,2022.0,10.0,10.0,Meia Praia
29927892.0,2,3,3.0,-27.15369,-48.57235,2022.0,10.0,10.0,Meia Praia
5.774934235749659e+17,2,2,2.0,-27.12626,-48.60406,2022.0,9.0,5.0,Centro
52532833.0,1,2,4.0,-27.137,-48.598,2022.0,9.0,5.0,Meia Praia
35985758.0,0,2,2.0,-27.09893,-48.61447,2022.0,10.0,10.0,Meia Praia
30799021.0,3,4,6.0,-27.14354,-48.58802,2022.0,10.0,10.0,Meia Praia
12931525.0,2,3,3.0,-27.129,-48.602,2022.0,10.0,10.0,Meia Praia
38450905.0,2,3,3.0,-27.13734,-48.59248,2022.0,10.0,10.0,Meia Praia
43774252.0,2,3,5.0,-27.14332,-48.59054,2022.0,10.0,10.0,Meia Praia
53825192.0,3,3,4.0,-27.136,-48.598,2022.0,9.0,5.0,Meia Praia
46704215.0,2,2,2.0,-27.1306,-48.60042,2022.0,10.0,10.0,Meia Praia
52666674.0,2,3,5.0,-27.15226,-48.57156,2022.0,10.0,10.0,Centro
46116173.0,2,2,3.0,-27.14259,-48.58892,2022.0,10.0,10.0,Meia Praia
5.4904358400155014e+17,2,3,3.0,-27.12363,-48.60815,2022.0,9.0,5.0,Meia Praia
47387605.0,3,3,4.0,-27.11904,-48.60857,2022.0,9.0,5.0,Meia Praia
42180312.0,1,1,1.0,-27.13458,-48.61365,2022.0,9.0,5.0,Meia Praia
6.042524676867302e+17,3,3,3.0,-27.11883,-48.60799,2022.0,10.0,10.0,Meia Praia
15941269.0,2,3,3.0,-27.13584,-48.60029,2022.0,9.0,5.0,Meia Praia
52241117.0,2,3,4.0,-27.13124,-48.59907,2022.0,9.0,5.0,Meia Praia
30377528.0,2,2,6.0,-27.15534,-48.58006,2022.0,9.0,5.0,Meia Praia
39331223.0,2,3,7.0,-27.13024,-48.59796,2022.0,10.0,10.0,Ilhota
52509425.0,2,2,2.0,-27.13754,-48.60056,2022.0,10.0,10.0,Meia Praia
52052904.0,1,1,1.0,-27.08526,-48.61122,2022.0,10.0,10.0,Meia Praia
36908385.0,3,3,3.0,-27.12359,-48.6063,2022.0,10.0,10.0,Meia Praia
40964938.0,1,1,1.0,-27.12544,-48.606,2022.0,10.0,10.0,Meia Praia
53547315.0,2,2,2.0,-27.13667,-48.59372,2022.0,9.0,5.0,Centro
41122722.0,5,4,6.0,-27.12899,-48.60021,2022.0,9.0,5.0,Centro
53007535.0,3,2,2.0,-27.09507,-48.61159,2022.0,9.0,5.0,Meia Praia
45894423.0,4,3,6.0,-27.10386,-48.61302,2022.0,9.0,5.0,Meia Praia
52618493.0,2,2,3.0,-27.15183,-48.57644,2022.0,9.0,5.0,Morretes
47291547.0,3,3,4.0,-27.12027,-48.60622,2022.0,9.0,5.0,Meia Praia
16143113.0,2,3,3.0,-27.13366,-48.59959,2022.0,9.0,5.0,Meia Praia
5.578759985504298e+17,2,2,2.0,-27.11518,-48.61207,2022.0,9.0,5.0,Meia Praia
47593343.0,1,1,1.0,-27.13299,-48.59789,2022.0,9.0,5.0,Meia Praia
46273848.0,2,3,4.0,-27.14161,-48.59409,2022.0,9.0,5.0,Meia Praia
41493620.0,2,2,3.0,-27.13692,-48.59443,2022.0,9.0,5.0,Meia Praia
5.628173304449877e+17,2,3,3.0,-27.13074,-48.60221,2022.0,9.0,5.0,Morretes
9471763.0,2,2,3.0,-27.12963,-48.59934,2022.0,9.0,5.0,Meia Praia
31859744.0,3,2,3.0,-27.11998,-48.60809,2022.0,9.0,5.0,Meia Praia
54247300.0,1,2,2.0,-27.12282,-48.60554,2022.0,10.0,10.0,Meia Praia
52350730.0,2,3,3.0,-27.12181,-48.60634,2022.0,10.0,10.0,Centro
37417268.0,1,1,1.0,-27.09569,-48.61877,2022.0,10.0,10.0,Meia Praia
5.378273788712427e+17,2,2,3.0,-27.09501,-48.61481,2022.0,9.0,5.0,Meia Praia
53043874.0,4,4,5.0,-27.124,-48.607,2022.0,9.0,5.0,Meia Praia
32034301.0,3,2,4.0,-27.09864,-48.6246,2022.0,10.0,10.0,Centro
52597718.0,1,2,3.0,-27.15197,-48.58153,2022.0,9.0,5.0,Meia Praia
39499673.0,1,2,2.0,-27.14633,-48.58541,2022.0,9.0,5.0,Meia Praia
21924711.0,1,3,2.0,-27.156,-48.589,2022.0,9.0,5.0,Meia Praia
5.6591717500629696e+17,2,2,2.0,-27.14191,-48.59092,2022.0,9.0,5.0,Centro
46012033.0,2,2,4.0,-27.12752,-48.6016,2022.0,9.0,5.0,Meia Praia
6.303261553010788e+17,2,2,3.0,-27.1348,-48.59544,2022.0,9.0,5.0,Centro
32766950.0,2,2,4.0,-27.09755,-48.6148,2022.0,9.0,5.0,Meia Praia
15791567.0,3,3,5.0,-27.12864,-48.59962,2022.0,10.0,10.0,Canto da Praia
53627363.0,1,3,1.0,-27.09659,-48.61537,2022.0,9.0,5.0,Meia Praia
47782979.0,1,1,1.0,-27.08978,-48.60731,2022.0,9.0,5.0,Meia Praia
31308297.0,1,1,1.0,-27.08965,-48.62167,2022.0,9.0,5.0,Meia Praia
53876392.0,2,4,4.0,-27.15588,-48.59414,2022.0,9.0,5.0,Morretes
53040464.0,1,2,3.0,-27.08711,-48.61508,2022.0,9.0,5.0,Meia Praia
32006813.0,1,1,1.0,-27.15119,-48.59525,2022.0,9.0,5.0,Meia Praia
22876372.0,3,3,7.0,-27.11068,-48.6106,2022.0,9.0,5.0,Meia Praia
52536959.0,1,3,1.0,-27.13728,-48.59846,2022.0,9.0,5.0,Centro
38470752.0,2,2,5.0,-27.12371,-48.60776,2022.0,9.0,5.0,Meia Praia
30332330.0,1,2,3.0,-27.098,-48.615,2022.0,9.0,5.0,Meia Praia
